Total oos: 16794
Total Jupiter OOs 14057

owner,oo,amount
7px4YMQYQXo7db6Fcu1c5oU2NGQof76hcaM2qBsKc8oM,D8upHpv9jrNXaup9fFVAmZTKXs7tYwH71Kh2cvh3Fk8S,'2702702702.7027'
35bY7mEzNoYY2SkQLAbA6Mywowt1su71xLSRAng1BHV7,D5rcaQpwRm3LB6K3VFM5JhJqWSzcbkZm9bHt7Ehh1ofN,'2702702702.7027'
HAyYQ4KQP2fmUmJvJm2ggZESNVtJmKoEWGjNh9FHQJnH,3Fpm6BCCg6VKXZEiZHfragxRHHBZZDeW7QTEALXffTM8,'2702702702.7027'
E3NiTbFsyXX3dgnEXZNV4XHBLEovKNJg7TwTTCz65vU6,9AUbB3QAjHpkPUZ7Z6u4Ji8aZopWCirfuwMa53NMUft8,'2702702702.7027'
4mEVKMXBwargF6VvBTuHP2EjzhCuZtKDn7jTDt5hNYo5,GLCWR4uWFE4HFDrVgVwcC9aRpMM1KT7sxkhG4Au9ogka,'2702702702.7027'
Abn3rGCZZbwxX3yGG1i72gmJsK7ua2RKc7FFkvwpRjew,3kMUAAvwbktrfMXQ8p9cJHYaH4PSiQBmDgH3f4QySSs5,'2702702702.7027'
EiJhYxMTTF2JrNP21jnQhBb9uviJEE7sCesLbtwknqDU,Ai25Jmx3YFUCJGHF1GEQDjkULDhuo8HiMVd89Tr1aT96,'2702702702.7027'
9deVz6t7Zz1LxLzwnX46vvfQ31CT5xnYHHqdzbjJJifJ,JpTDXenu5cHrSoYoPwE8yRbJRRTUb9NuWyJTdcE72gJ,'2702702702.7027'
AkdwsCw5SujFwVyS3hWkHNtJB1XoZZZxRD8Y4W8c2ESb,AZ6ghWqy3HSbZVPsymSaZe5aUoHymsAxsoTZkf6k2PRZ,'2702702702.7027'
4PFL9dzDMMoi4gWHvwQjhWymW5uEkmFNwbnDBFy1A2x7,E3KC6pmj2674UioEWJV3L5vy9DiRDeGswXzTAj6NEhWb,'2702702702.7027'
BGZiXtKhV9GhhadLQEobPA4GnY2JWh43bVg5kzMKeqwJ,3zrNdU3oYtwz2CUsnsdvSBWykEha7v6DxfD4rzXKnq8w,'2702702702.7027'
